"SampleID","avg_NPOC","avg_TN","SRP_uM","SRP_mgL","Q..L.s.","Date","Site","month_year","Low","Moderate","High","pct_burned","Moderate_High","Fluoride_mgL","Chloride_mgL","Sulfate_mgL","Bromide_mgL","NitrateN_mgL","time_since","biome_type","ignition_date","burn_period","mean_slope","mean_elev_m","max_elev_m","area_km2","biome_pca"
"R150",2.235,0.2564,0.4259648423,0.013192131166031,7.89771843282121,"2025-02-18","pine","02.25",16.501,35.07,35.53,87.101,70.6,0.49175,11.635,26.58475,0.017,0.47775,4.39178082191781,"montane","2020-08-12","older_burn",23.2610479231955,1453.29320234927,1668.728515625,3.4009349624221,"forest"
"R151",1.20166666666667,0.600133333333333,0.108,0.0008961212297443,418.73468,"2025-02-18","bigrock","02.25",22.36,10.884,2.101,35.345,12.985,0.1345,3.1365,39.42825,0.00275,0.90625,4.32328767123288,"montane","2020-09-06","older_burn",30.5023797362083,1935.87621352547,2864.5849609375,59.4209183743902,"forest"
"R152",7.82433333333333,1.867,4.997087806,0.15475980935182,14.6997667380046,"2025-02-17","zuma","02.25.2",34.924,51.234,2.57,88.728,53.804,0.330666666666667,115.274,257.421333333333,0.0523333333333333,4.296,6.15342465753425,"coastal","2018-11-08","older_burn",17.3339885283703,556.576800683364,762.265441894531,6.9238961530314,"shrub_grass"
"R153",2.99733333333333,0.1649,0.386192579,0.01196038417163,6.94693379880141,"2025-02-17","stunt","02.25.2",0.386,0.686,0.343,1.414,1.029,0.294166666666667,34.5825,117.721166666667,0.0183333333333333,0.0012,40,"coastal","2025-01-07","24_25_burn",22.5679559030945,600.489480274344,844.117248535156,2.06142126336751,"shrub_grass"
"R154",3.96433333333333,0.7856,0.4818609961,0.014923235049217,NA,"2025-02-16","willow","02.25",1.219,0.476,0.01,1.705,0.486,0.100433333333333,73.2742,16.3634666666667,0.886166666666667,0.737466666666667,40,"montane","2003-10-25","older_burn",11.3977202886606,1629.12392135944,1842.68811035156,18.2474395027934,"forest"
"R155",9.49466666666667,1.96333333333333,5.991394389,0.18555348422733,4417.4208,"2025-02-15","santamargarita","02.25",NA,NA,NA,1.31776257782407,1.31776257782407,0.315333333333333,156.411833333333,214.656666666667,0.0751666666666667,3.745,40,"coastal","2024-07-29","24_25_burn",11.0008127713279,785.740868454985,2081.29663085938,1602.26017512405,"shrub_grass"
"R156",1.26766666666667,0.311666666666667,0.108,0.00531893753995,22.3011329740896,"2025-02-18","pallet","02.25",50.071,17.998,1.485,69.554,19.483,0.3025,3.7855,51.5555,0.00275,0.69225,4.32328767123288,"montane","2020-09-06","older_burn",19.5067845198419,1522.54060322173,2435.3232421875,38.755546510993,"shrub_grass"
"R157",8.15,6.56933333333333,7.392560475,0.22894759791075,62.013792,"2025-02-15","diamond","02.25",NA,NA,NA,0.0046018310315058,0.0046018310315058,0.469625,225.476875,297.753875,0.121125,9.013875,40,"coastal","2021-06-04","older_burn",14.8436330077263,425.647233582633,734.279113769531,26.5612717355592,"shrub_grass"
"R158",2.54066666666667,0.1251,0.7253200786,0.022463162834242,8.31525036617445,"2025-03-14","stunt","03.25",0.386,0.686,0.343,1.414,1.029,0.594,54.8685,185.382,0.023,0.0012,40,"coastal","2025-01-07","24_25_burn",22.5679559030945,600.489480274344,844.117248535156,2.06142126336751,"shrub_grass"
"R159",7.629,0.881333333333333,0.108,0.005149477522972,2.50298429097763,"2025-02-18","government","02.25",33.811,38.148,6.034,77.992,44.182,0.262,25.7635,82.11475,1.09,1.07325,0.315068493150685,"montane","2024-09-08","24_25_burn",23.1678665552325,2191.93988183208,2587.15234375,6.40799000755886,"forest"
